index,Disease,Disease_Code,State,Year,Gender,Age,Age_Code,STD_Cases,Population,Rate_per_100K
35145,Gonorrhea,280,Missouri,2008,Female,25-29 years,25-29,730,210823,346.26
35146,Gonorrhea,280,Missouri,2008,Female,30-34 years,30-34,240,180353,133.07
35147,Gonorrhea,280,Missouri,2008,Female,35-39 years,35-39,144,192605,74.76
35148,Gonorrhea,280,Missouri,2008,Female,40+ years,40+,138,1470000,9.39
35149,Gonorrhea,280,Missouri,2008,Female,Unknown,99,1,,
35150,Gonorrhea,280,Missouri,2009,Female,0-14 years,0-14,60,578537,10.37
35151,Gonorrhea,280,Missouri,2009,Female,15-19 years,15-19,1355,204220,663.5
35152,Gonorrhea,280,Missouri,2009,Female,20-24 years,20-24,1203,207821,578.86
35153,Gonorrhea,280,Missouri,2009,Female,25-29 years,25-29,545,208590,261.28
35154,Gonorrhea,280,Missouri,2009,Female,30-34 years,30-34,211,183814,114.79
35155,Gonorrhea,280,Missouri,2009,Female,35-39 years,35-39,123,190273,64.64
35156,Gonorrhea,280,Missouri,2009,Female,40+ years,40+,86,1488323,5.78
35157,Gonorrhea,280,Missouri,2009,Female,Unknown,99,2,,
35158,Gonorrhea,280,Missouri,2010,Female,0-14 years,0-14,67,575293,11.65
35159,Gonorrhea,280,Missouri,2010,Female,15-19 years,15-19,1440,206847,696.17
35160,Gonorrhea,280,Missouri,2010,Female,20-24 years,20-24,1366,205496,664.73
35161,Gonorrhea,280,Missouri,2010,Female,25-29 years,25-29,612,201801,303.27
35162,Gonorrhea,280,Missouri,2010,Female,30-34 years,30-34,223,185922,119.94
35163,Gonorrhea,280,Missouri,2010,Female,35-39 years,35-39,113,184926,61.11
35164,Gonorrhea,280,Missouri,2010,Female,40+ years,40+,130,1495165,8.69
35165,Gonorrhea,280,Missouri,2011,Female,0-14 years,0-14,63,571733,11.02
35166,Gonorrhea,280,Missouri,2011,Female,15-19 years,15-19,1454,201536,721.46
35167,Gonorrhea,280,Missouri,2011,Female,20-24 years,20-24,1557,209422,743.48
35168,Gonorrhea,280,Missouri,2011,Female,25-29 years,25-29,568,201527,281.85
35169,Gonorrhea,280,Missouri,2011,Female,30-34 years,30-34,292,192209,151.92
35170,Gonorrhea,280,Missouri,2011,Female,35-39 years,35-39,140,178101,78.61
35171,Gonorrhea,280,Missouri,2011,Female,40+ years,40+,120,1511726,7.94
35172,Gonorrhea,280,Missouri,2011,Female,Unknown,99,1,,
35173,Gonorrhea,280,Missouri,2012,Female,0-14 years,0-14,79,569156,13.88
35174,Gonorrhea,280,Missouri,2012,Female,15-19 years,15-19,1346,196245,685.88
35175,Gonorrhea,280,Missouri,2012,Female,20-24 years,20-24,1595,212684,749.94
35176,Gonorrhea,280,Missouri,2012,Female,25-29 years,25-29,640,200475,319.24
35177,Gonorrhea,280,Missouri,2012,Female,30-34 years,30-34,273,195707,139.49
35178,Gonorrhea,280,Missouri,2012,Female,35-39 years,35-39,131,176592,74.18
35179,Gonorrhea,280,Missouri,2012,Female,40+ years,40+,145,1520093,9.54
35180,Gonorrhea,280,Missouri,2013,Female,0-14 years,0-14,73,567092,12.87
35181,Gonorrhea,280,Missouri,2013,Female,15-19 years,15-19,1142,193698,589.58
35182,Gonorrhea,280,Missouri,2013,Female,20-24 years,20-24,1488,214763,692.86
35183,Gonorrhea,280,Missouri,2013,Female,25-29 years,25-29,642,198863,322.83
35184,Gonorrhea,280,Missouri,2013,Female,30-34 years,30-34,330,199569,165.36
35185,Gonorrhea,280,Missouri,2013,Female,35-39 years,35-39,120,178109,67.37
35186,Gonorrhea,280,Missouri,2013,Female,40+ years,40+,149,1528120,9.75
35187,Gonorrhea,280,Missouri,2014,Female,0-14 years,0-14,47,567092,8.29
35188,Gonorrhea,280,Missouri,2014,Female,15-19 years,15-19,1077,193698,556.02
35189,Gonorrhea,280,Missouri,2014,Female,20-24 years,20-24,1358,214763,632.33
35190,Gonorrhea,280,Missouri,2014,Female,25-29 years,25-29,624,198863,313.78
35191,Gonorrhea,280,Missouri,2014,Female,30-34 years,30-34,294,199569,147.32
35192,Gonorrhea,280,Missouri,2014,Female,35-39 years,35-39,106,178109,59.51
35193,Gonorrhea,280,Missouri,2014,Female,40+ years,40+,114,1528120,7.46
35194,Gonorrhea,280,Montana,1996,Female,0-14 years,0-14,1,93278,1.07
35195,Gonorrhea,280,Montana,1996,Female,15-19 years,15-19,8,33773,23.69
35196,Gonorrhea,280,Montana,1996,Female,20-24 years,20-24,5,27249,18.35
35197,Gonorrhea,280,Montana,1996,Female,25-29 years,25-29,2,23880,8.38
35198,Gonorrhea,280,Montana,1996,Female,30-34 years,30-34,1,29432,3.4
35199,Gonorrhea,280,Montana,1996,Female,35-39 years,35-39,2,37508,5.33
35200,Gonorrhea,280,Montana,1997,Female,15-19 years,15-19,19,34315,55.37
35201,Gonorrhea,280,Montana,1997,Female,20-24 years,20-24,6,27557,21.77
35202,Gonorrhea,280,Montana,1997,Female,25-29 years,25-29,2,24123,8.29
35203,Gonorrhea,280,Montana,1997,Female,30-34 years,30-34,1,27957,3.58
35204,Gonorrhea,280,Montana,1997,Female,35-39 years,35-39,1,36862,2.71
35205,Gonorrhea,280,Montana,1998,Female,15-19 years,15-19,9,34639,25.98
35206,Gonorrhea,280,Montana,1998,Female,20-24 years,20-24,11,27619,39.83
35207,Gonorrhea,280,Montana,1998,Female,25-29 years,25-29,5,24319,20.56
35208,Gonorrhea,280,Montana,1998,Female,30-34 years,30-34,2,26709,7.49
35209,Gonorrhea,280,Montana,1998,Female,35-39 years,35-39,1,35748,2.8
35210,Gonorrhea,280,Montana,1998,Female,40+ years,40+,4,208234,1.92
35211,Gonorrhea,280,Montana,1999,Female,0-14 years,0-14,4,90850,4.4
35212,Gonorrhea,280,Montana,1999,Female,15-19 years,15-19,12,34674,34.61
35213,Gonorrhea,280,Montana,1999,Female,20-24 years,20-24,15,27842,53.88
35214,Gonorrhea,280,Montana,1999,Female,25-29 years,25-29,3,24508,12.24
35215,Gonorrhea,280,Montana,1999,Female,35-39 years,35-39,1,34659,2.89
35216,Gonorrhea,280,Montana,2000,Female,15-19 years,15-19,14,34497,40.58
35217,Gonorrhea,280,Montana,2000,Female,20-24 years,20-24,17,28606,59.43
35218,Gonorrhea,280,Montana,2000,Female,25-29 years,25-29,5,24802,20.16
35219,Gonorrhea,280,Montana,2000,Female,30-34 years,30-34,1,26389,3.79
35220,Gonorrhea,280,Montana,2000,Female,40+ years,40+,1,217826,0.46
35221,Gonorrhea,280,Montana,2001,Female,0-14 years,0-14,2,86104,2.32
35222,Gonorrhea,280,Montana,2001,Female,15-19 years,15-19,22,34976,62.9
35223,Gonorrhea,280,Montana,2001,Female,20-24 years,20-24,22,29510,74.55
35224,Gonorrhea,280,Montana,2001,Female,25-29 years,25-29,4,24338,16.44
35225,Gonorrhea,280,Montana,2001,Female,30-34 years,30-34,3,26020,11.53
35226,Gonorrhea,280,Montana,2001,Female,35-39 years,35-39,3,31596,9.49
35227,Gonorrhea,280,Montana,2001,Female,40+ years,40+,1,221690,0.45
35228,Gonorrhea,280,Montana,2002,Female,0-14 years,0-14,1,84503,1.18
35229,Gonorrhea,280,Montana,2002,Female,15-19 years,15-19,36,34787,103.49
35230,Gonorrhea,280,Montana,2002,Female,20-24 years,20-24,22,30655,71.77
35231,Gonorrhea,280,Montana,2002,Female,25-29 years,25-29,5,24304,20.57
35232,Gonorrhea,280,Montana,2002,Female,30-34 years,30-34,6,25838,23.22
35233,Gonorrhea,280,Montana,2002,Female,35-39 years,35-39,3,29946,10.02
35234,Gonorrhea,280,Montana,2002,Female,40+ years,40+,2,226283,0.88
35235,Gonorrhea,280,Montana,2003,Female,0-14 years,0-14,1,84472,1.18
35236,Gonorrhea,280,Montana,2003,Female,15-19 years,15-19,26,34443,75.49
35237,Gonorrhea,280,Montana,2003,Female,20-24 years,20-24,37,32224,114.82
35238,Gonorrhea,280,Montana,2003,Female,25-29 years,25-29,5,25091,19.93
35239,Gonorrhea,280,Montana,2003,Female,30-34 years,30-34,2,25171,7.95
35240,Gonorrhea,280,Montana,2003,Female,35-39 years,35-39,3,28441,10.55
35241,Gonorrhea,280,Montana,2004,Female,0-14 years,0-14,1,81287,1.23
